regNo,name,rankOf12Month,rankOf24Month,rankOf36Month,rankOf48Month,rankOf60Month,rankLastUpdate,fundType,typeOfInvest,fundSize,initiationDate,dailyEfficiency,weeklyEfficiency,monthlyEfficiency,quarterlyEfficiency,sixMonthEfficiency,annualEfficiency,statisticalNav,efficiency,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,articlesOfAssociationLink,prosoectusLink,websiteAddress,manager,managerSeoRegisterNo,guarantorSeoRegisterNo,auditor,custodian,guarantor,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,fundUnit,commodity,fundPublisher,smallSymbolName,insCode,fundWatch
12198,بخشی پترو آبان,,,,,,0001-01-01T00:00:00,21,Negotiable,5990810876319,2024-02-26T00:00:00,0.986,2.678,-0.619,16.567,39.497,49.31,15198.0,52.336,15261.0,15364.0,0,,2025-03-02T00:00:00,5990810876319,20.0,392554566,,,['apfund.ir'],سبدگردان آبان,11593,,موسسه حسابرسی بیات رایان,مشاور سرمایه‌گذاری سهم آشنا,----,,,True,42.62,96.39,2.0,1.42,0.0,0.19,,,1,پتروآبان,18757639286384873,
12191,جاویدان سهام مانی,,,,,,0001-01-01T00:00:00,6,Negotiable,316706597243,2024-01-22T00:00:00,0.777,4.025,2.926,24.253,44.341,48.932,15687.0,52.835,15687.0,15794.0,0,,2025-03-02T00:00:00,316706597243,,20188950,,,['javidanfund.ir'],سبدگردان مانی,11656,,موسسه حسابرسی و خدمات مالی ارقام نگر آریا,موسسه حسابرسی هدف نوین نگر,----,0.817317,14.932,True,39.41,87.3,7.56,0.8,0.0,4.34,,,1,جاودان,49531112577387255,
11726,جسورانه فیروزه,,,,,,0001-01-01T00:00:00,12,Negotiable,583329801143,2020-08-09T00:00:00,-0.014,-0.064,0.261,1.063,2.737,48.065,1166660.0,1020.474,1166660.0,1166665.0,0,,2025-03-02T00:00:00,583329801143,,500000,,,['firouzehvcfund.ir'],سبدگردان توسعه فیروزه,11677,,مؤسسه آتیه اندیش نمودگر,مؤسسه حسابرسی بهراد مشار,----,,,True,0.0,0.0,1.3,69.71,0.01,28.98,,,1,ونچر,57585821705408565,
11297,مشترک یکم آبان,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,5294850598211,2014-11-19T00:00:00,0.353,3.671,3.0,19.386,38.599,47.915,47981465.0,4694.464,47981465.0,48296173.0,0,,2025-03-02T00:00:00,5294850598211,,110352,,,['abfund.ir'],سبدگردان آبان,11593,,موسسه حسابرسی دش و همکاران,مشاور سرمایه گذاری ایرانیان تحلیل فارابی,----,1.006595,10.915,True,33.2,93.27,0.0,1.99,4.71,0.04,,,1,,None,
11341,هستی بخش آگاه,,,,,,0001-01-01T00:00:00,6,Negotiable,32416490454547,2015-11-22T00:00:00,0.96,2.63,-0.47,17.56,36.16,46.12,189757.0,7045.79,189742.0,191034.0,0,,2025-03-02T00:00:00,32416490454547,,170845000,,,['hbagahfund.com'],سبدگردان آگاه,11604,,موسسه حسابرسی فریوران راهبرد,موسسه حسابرسی و خدمات مالی و مدیریت ایران مشهود,----,0.868435,12.12,True,23.37,91.48,0.0,1.19,0.0,1.89,0.0,5.45,2,آگاس,33887145736684266,
11308,شاخص سی شرکت بزرگ فیروزه,,,,,,0001-01-01T00:00:00,23,Negotiable,5621097557072,2015-02-17T00:00:00,1.328,4.643,7.087,18.396,35.654,46.07,13659.0,3940.726,13659.0,13750.0,0,,2025-03-02T00:00:00,5621097557072,,411529351,,,['iranetf.ir'],سبدگردان توسعه فیروزه,11677,,موسسه حسابرسی آتیه اندیش نمودگر,مشاور سرمایه گذاری سهم آشنا,----,,,True,32.62,96.24,0.0,0.74,0.0,3.02,,,1,فیروزه,66036975502302203,
10743,مشترک یکم اکسیر فارابی,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,4025831231609,2009-11-22T00:00:00,0.41,3.17,1.77,19.48,39.4,45.79,2983993.0,29740.17,2983993.0,3004944.0,0,,2025-03-02T00:00:00,4025831231609,,1349142,,,['exir1.irfarabi.com'],سبدگردان فارابی,11787,,موسسه حسابرسی بیات رایان,موسسه حسابرسی بهراد مشار,----,0.982577,9.79,True,23.97,89.1,0.0,0.86,0.0,0.07,0.0,9.96,2,,None,
12210,گنجینه مینو خلیج فارس,,,,,,0001-01-01T00:00:00,6,Negotiable,4104475029112,2023-12-27T00:00:00,0.786,3.449,1.448,18.073,39.625,44.994,14348.0,43.66,14366.0,14463.0,0,,2025-03-02T00:00:00,4104475029112,,285703270,,,['khalij.pgibc.ir'],تامین سرمایه خلیج فارس,,,موسسه حسابرسی و خدمات مدیریت ارقام نگر آریا,مشاور سرمایه گذاری ایرانیان تحلیل فارابی,----,0.9613,8.994,True,30.71,95.93,2.78,0.93,0.0,0.36,,,1,خلیج,26458514535443899,
10767,مشترک پارس,,,,,,0001-01-01T00:00:00,7,IssuanceAndCancellation,956967713219,2010-03-15T00:00:00,0.505,3.082,4.669,16.61,30.729,44.639,1172407.0,11624.246,1172407.0,1178521.0,0,,2025-03-02T00:00:00,956967713219,,816242,,,['parsfund.ir'],سبدگردان آبان,11593,,موسسه حسابرسی دش و همکاران,موسسه حسابرسی هدف نوین نگر,----,,,True,49.43,62.5,0.0,0.71,0.02,36.77,,,1,,None,
11649,سرو سودمند مدبران,,,,,,0001-01-01T00:00:00,6,Negotiable,19853289719267,2019-06-23T00:00:00,1.19,3.99,1.72,15.86,37.66,44.46,17600.0,1799.08,17479.0,17596.0,0,,2025-03-02T00:00:00,19853289719267,,1135804739,,,['sarv.fund'],مشاور سرمایه گذاری ترنج,11319,,موسسه حسابرسی آتیه اندیش نمودگر,مشاور سرمایه گذاری ایرانیان تحلیل فارابی,----,0.874813,10.46,True,24.2,87.67,1.52,0.59,0.0,1.05,0.0,9.18,2,سرو,64942549055019553,
